AUC,F1 Macro,Precision Macro,Recall Macro,Accuracy,MCC,model_type
0.49507389162561577,0.5038461538461538,0.5053763440860215,0.5049261083743842,0.5813953488372093,0.010292609703223318,Classical_orig
0.5795739348370927,0.4176942650225093,0.4152334152334153,0.45676691729323304,0.5882352941176471,-0.12107387447313195,Classical_orig
0.6366995073891626,0.5754893617021277,0.5950510604870385,0.5745073891625616,0.6627906976744186,0.16830931470387436,Classical_orig
0.550125313283208,0.5750685373326883,0.5783333333333334,0.5736215538847118,0.6352941176470588,0.1518818188061901,Classical_orig
0.5788177339901478,0.558974358974359,0.5631720430107527,0.5578817733990148,0.627906976744186,0.12093816401287398,Classical_orig
0.6027568922305764,0.5750685373326883,0.5783333333333334,0.5736215538847118,0.6352941176470588,0.1518818188061901,Classical_orig
0.7530788177339901,0.7110215053763441,0.7439393939393939,0.6982758620689655,0.7674418604651163,0.43985130953955026,Q_1body
0.7550125313283208,0.7943880019351717,0.8049999999999999,0.7866541353383458,0.8235294117647058,0.5913696349262295,Q_1body
0.8891625615763546,0.7995337995337995,0.8025737602008789,0.7967980295566502,0.8255813953488372,0.5993439607543143,Q_1body
0.8308270676691729,0.8016666666666666,0.8297258297258298,0.7863408521303259,0.8352941176470589,0.6145371430697181,Q_1body
0.8041871921182266,0.7288866766218682,0.7571428571428571,0.7161330049261083,0.7790697674418605,0.4714957408485075,Q_1body
0.8176691729323309,0.6303649083002458,0.7142094017094017,0.6256265664160401,0.7294117647058823,0.3280877421104688,Q_1body
0.5483374384236454,0.4257659073055774,0.42894736842105263,0.46674876847290636,0.6046511627906976,-0.09721291073187473,Q_2body
0.7994987468671679,0.7492625368731562,0.7472290640394088,0.7515664160401003,0.7764705882352941,0.49877662167083375,Q_2body
0.5914408866995073,0.6237238697131745,0.6338854382332644,0.6194581280788177,0.686046511627907,0.25293243230837703,Q_2body
0.6657268170426065,0.613919413919414,0.6151463963963965,0.6281328320802004,0.6352941176470588,0.24293236815294633,Q_2body
0.7389162561576355,0.6973607038123167,0.6928733031674208,0.7099753694581281,0.7209302325581395,0.40248549335939415,Q_2body
0.675125313283208,0.584419817470665,0.5898224043715847,0.5823934837092731,0.6470588235294118,0.172055581848633,Q_2body
0.5905172413793104,0.408133472367049,0.4005424954792043,0.4661330049261084,0.6162790697674418,-0.11607457629760862,SHAP50
0.7205513784461154,0.7828863346104725,0.7891134289439374,0.7778822055137844,0.8117647058823529,0.566884387785002,SHAP50
0.6108374384236452,0.6052459016393442,0.6171875,0.6016009852216748,0.6744186046511628,0.21823258652790628,SHAP50
0.7415413533834586,0.6702648001349301,0.6923363095238095,0.661967418546366,0.7294117647058823,0.35299980479488224,SHAP50
0.6742610837438424,0.6735679779158039,0.7156862745098038,0.6625615763546798,0.7441860465116279,0.3744986023065075,SHAP50
0.6770050125313283,0.584419817470665,0.5898224043715847,0.5823934837092731,0.6470588235294118,0.172055581848633,SHAP50
